Title,Copies sold,As of,Release date,Genre,Developer,Publisher,Console_name
The Legend of Zelda: Breath of the Wild,31.85 million,"March 31, 2024",2017-03-03,Action-adventure,Nintendo EPD,Nintendo,Nintendo Switch
1-2-Switch,3.74 million,"December 31, 2022",2017-03-03,Party,Nintendo EPD,Nintendo,Nintendo Switch
Mario Kart 8 Deluxe,61.97 million,"March 31, 2024",2017-04-28,Kart racing,Nintendo EPD,Nintendo,Nintendo Switch
Minecraft,5.67 million,"May 9, 2024",2017-05-11,Sandboxsurvival,Mojang,JP: Xbox Game StudiosNA/PAL: Mojang,Nintendo Switch
Arms,2.72 million,"December 31, 2022",2017-06-16,Fighting,Nintendo EPD,Nintendo,Nintendo Switch
Splatoon 2,13.60 million,"December 31, 2022",2017-07-21,Third-person shooter,Nintendo EPD,Nintendo,Nintendo Switch
Naruto Shippudden: Ultimate Ninja Storm Trilogy,1.73 million,"December 31, 2022",2017-07-27,Fighting,CyberConnect2,Bandai Namco Entertainment,Nintendo Switch
Mario + Rabbids Kingdom Battle,2 million,"September 2, 2018",2017-08-29,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[30],Nintendo Switch
Dragon Ball Xenoverse 2,1.82 million,"December 31, 2022",2017-09-07,Fighting,Dimps,Bandai Namco Entertainment,Nintendo Switch
Pokkén Tournament DX,1.54 million,"January 2, 2022",2017-09-22,Fighting,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,Nintendo Switch
Super Mario Odyssey,27.96 million,"March 31, 2024",2017-10-27,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Resident Evil: Revelations Collection,1.40 million,"June 30, 2023",2017-11-27,Survival horror,Capcom,Capcom,Nintendo Switch
Xenoblade Chronicles 2,2.70 million,"December 31, 2022",2017-12-01,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Human: Fall Flat,2 million,"May 2, 2024",2017-12-07,Puzzle-platform,No Brakes Games,JP: Teyon JapanNA/PAL: Curve Digital,Nintendo Switch
Enter the Gungeon,1 million,"March 3, 2019",2017-12-14,Bullet hell,Dodge Roll,Devolver Digital,Nintendo Switch
Bayonetta 2,1.23 million,"December 31, 2022",2018-02-16,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
Bayonetta,1.24 million,"December 31, 2022",2018-02-16,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
Kirby Star Allies,4.38 million,"December 31, 2022",2018-03-16,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
Nintendo Labo Toy-Con 01: Variety Kit,1.42 million,"December 31, 2020",2018-04-20,Construction kit,Nintendo EPD,Nintendo,Nintendo Switch
Donkey Kong Country: Tropical Freeze,4.62 million,"December 31, 2022",2018-05-04,Platformer,Retro Studios,Nintendo,Nintendo Switch
Mario Tennis Aces,4.50 million,"December 31, 2022",2018-06-22,Sports,Camelot Software Planning,Nintendo,Nintendo Switch
