Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Wii Sports †,82.90 million,2006-11-19,Sports,Nintendo EAD (Group 2),Nintendo,Wii
The Legend of Zelda: Twilight Princess,7.50 million,2006-11-19,Action-adventure,Nintendo EAD (Group 3),Nintendo,Wii
Red Steel,1 million,2006-11-19,First-person shooter,Ubisoft Paris,Ubisoft,Wii
Rayman Raving Rabbids,1.2 million,2006-11-19,Party,Ubisoft Montpellier,Ubisoft,Wii
Wii Play,28.02 million,2006-12-02,Party,Nintendo EAD (Group 2),Nintendo,Wii
WarioWare: Smooth Moves,2.35 million,2006-12-02,Partyrhythm,Nintendo SPD (Group 1)Intelligent Systems,Nintendo,Wii
Pokémon Battle Revolution,1.95 million,2006-12-14,Fighting,Genius Sonority,Nintendo,Wii
Super Paper Mario,4.23 million,2007-04-09,Action role-playing: platform,Intelligent Systems,Nintendo,Wii
Big Brain Academy: Wii Degree,3.34 million,2007-04-26,Puzzle: educational,Nintendo EAD (Group 4),Nintendo,Wii
Mario Strikers Charged,2.6 million,2007-05-25,Sports,Next Level Games,Nintendo,Wii
Mario Party 8,8.85 million,2007-05-29,Party,Hudson Soft,Nintendo,Wii
Resident Evil 4: Wii Edition,2 million,2007-05-31,Survival horror,Capcom,JP/NA/EU: CapcomAU: Nintendo Australia,Wii
Carnival Games,1.5 million,2007-08-27,Party,Cat Daddy Games,Global Star Software,Wii
Metroid Prime 3: Corruption,1.41 million,2007-08-27,First-person action-adventure,Retro StudiosNintendo,Nintendo,Wii
Guitar Hero III: Legends of Rock,2 million,2007-10-28,Music: rhythm,Vicarious Visions,Activision,Wii
Super Mario Galaxy,12.80 million,2007-11-01,Platform,Nintendo EAD (Group 1),Nintendo,Wii
Super Mario Bros. 3[e],1 million,2007-11-05,Platform,Nintendo EAD,Nintendo,Wii
Mario & Sonic at the Olympic Games,7.09 million,2007-11-06,Sports,Sega Sports R&D,JP: NintendoNA/PAL: Sega,Wii
Lego Star Wars: The Complete Saga,5.51 million,2007-11-06,Action-adventure,Traveller's Tales,LucasArts,Wii
Resident Evil: The Umbrella Chronicles,1.3 million,2007-11-13,Rail shooter,CapcomCavia,JP/NA/EU: CapcomAU: Nintendo Australia,Wii
Link's Crossbow Training,5.79 million,2007-11-19,Shooter,Nintendo EAD (Group 3),Nintendo,Wii
Game Party,2 million shipped,2007-11-27,Party,FarSight Studios,Midway Games,Wii
Wii Fit,22.67 million,2007-12-01,Exergaming,Nintendo EAD (Group 5),Nintendo,Wii
We Ski,1.2 million,2008-01-31,Sports,Bandai Namco Games,Bandai Namco Games,Wii
Super Smash Bros. Brawl,13.32 million,2008-01-31,Fighting,Sora Ltd.ad hoc development team[c],Nintendo,Wii
Mario Kart Wii †,37.38 million,2008-04-10,Racing,Nintendo EAD (Group 1),Nintendo,Wii
