Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Halo: Combat Evolved,5 million,2001-11-15,First-person shooter,Bungie,Microsoft Game Studios,Xbox
Project Gotham Racing,1.2 million,2001-11-15,Racing,Bizarre Creations,Microsoft Game Studios,Xbox
Dead or Alive 3,2 million,2001-11-15,Fighting,Team Ninja,WW: TecmoEU: Microsoft Game Studios,Xbox
The Elder Scrolls III: Morrowind,1.36 million,2002-06-06,Role-playing,Bethesda Game Studios,Bethesda Softworks,Xbox
Tom Clancy's Ghost Recon,1.13 million,2002-11-11,Tactical shooter,Red Storm Entertainment,Ubi Soft,Xbox
Tom Clancy's Splinter Cell,2.4 million,2002-11-17,Stealth,Ubi Soft Montreal,Ubi Soft,Xbox
Star Wars: Knights of the Old Republic,1.58 million,2003-07-15,Role-playing,BioWare,LucasArts,Xbox
Grand Theft Auto III and Grand Theft Auto: Vice City,2.49 million,2003-10-21,Action-adventure,DMA Design (III) Rockstar North (Vice City) Rockstar Vienna,Rockstar Games,Xbox
Need for Speed: Underground,1.1 million,2003-11-17,Racing,EA Black Box,EA Games,Xbox
Counter-Strike,1.5 million,2003-11-18,First-person shooter,Valve,Sierra Studios,Xbox
Ninja Gaiden,1.5 million,2004-03-02,Action-adventurehack and slash,Team Ninja,Tecmo,Xbox
ESPN NFL 2K5,1.38 million,2004-07-20,Sports,Visual Concepts,Sega,Xbox
Madden NFL 2005,1.42 million,2004-08-09,Sports,EA Tiburon,EA Sports,Xbox
Fable,3 million,2004-09-14,Action role-playing,Big Blue Box Studios,Microsoft Game Studios,Xbox
Star Wars: Battlefront,1.22 million,2004-09-21,Third-person shooterfirst-person shooter,Pandemic Studios,LucasArts,Xbox
Halo 2,8.46 million,2004-11-09,First-person shooter,Bungie,Microsoft Game Studios,Xbox
Need for Speed: Underground 2,1.44 million,2004-11-15,Racing,EA Black Box,EA Games,Xbox
Grand Theft Auto: San Andreas,1.46 million,2005-06-07,Action-adventure,Rockstar North,Rockstar Games,Xbox
Madden NFL 06,1.41 million,2005-08-08,Sports,EA Tiburon,EA Sports,Xbox
Star Wars: Battlefront II,1.17 million,2005-10-31,Actionthird-person shooterfirst-person shooter,Pandemic Studios,LucasArts,Xbox
Call of Duty 2: Big Red One,1.39 million,2005-11-01,First-person shooter,Treyarch,Activision,Xbox
Sneak King,3.2 million,2006-11-19,Stealth-actionadvergame,Blitz Games Studios,King Games,Xbox
