Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Tekken Tag Tournament,2.467 million,2000-03-30,Fighting,Namco,WW: NamcoEU: Sony Computer Entertainment,PlayStation 2
Madden NFL 2001,1.236 million,2000-10-26,Sports,EA Tiburon,NA/EU: EA SportsJP: Electronic Arts Square,PlayStation 2
Midnight Club: Street Racing,1.976 million,2000-10-26,Racing,Angel Studios,Rockstar Games,PlayStation 2
Dark Cloud,1.2 million shipped,2000-12-14,Action role-playing,Level-5,Sony Computer Entertainment,PlayStation 2
Onimusha: Warlords,2.02 million,2001-01-25,Action-adventurehack and slash,Capcom,Capcom,PlayStation 2
ATV Offroad Fury,1.99 million,2001-02-05,Racing,Rainbow Studios,Sony Computer Entertainment,PlayStation 2
Resident Evil – Code: Veronica X,1.4 million,2001-03-22,Survival horror,Capcom Production Studio 4,Capcom,PlayStation 2
Gran Turismo 3: A-Spec,14.89 million,2001-04-28,Racing,Polyphony Digital,Sony Computer Entertainment,PlayStation 2
Crazy Taxi,1.383 million,2001-05-14,Racingaction,Hitmaker,Sega,PlayStation 2
NBA Street,1.713 million,2001-06-18,Sports,NuFXEA Canada,EA Sports BIG,PlayStation 2
Twisted Metal: Black,1.12 million,2001-06-18,Vehicular combat,Incognito Entertainment,Sony Computer Entertainment,PlayStation 2
Final Fantasy X,8.5 million,2001-07-19,Role-playing,Square Product Development Division 1,JP: SquareNA: Square Electronic ArtsPAL: Sony Computer Entertainment,PlayStation 2
Everybody's Golf 3[ax],2.17 million,2001-07-26,Sports,Clap Hanz,Sony Computer Entertainment,PlayStation 2
Madden NFL 2002,2.3 million,2001-08-19,Sports,EA TiburonBudcat Creations,NA/EU: EA SportsJP: Electronic Arts Square,PlayStation 2
Devil May Cry,2.16 million,2001-08-23,Action-adventurehack and slash,Capcom Production Studio 4,Capcom,PlayStation 2
Yu-Gi-Oh! The Duelists of the Roses,1.446 million,2001-09-06,Card battle,Konami,Konami,PlayStation 2
Ace Combat 04: Shattered Skies,2.64 million,2001-09-13,Combat flight simulator,Namco,Namco,PlayStation 2
